verdict,intent,command,risk,progress
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
OTHER_SCAM,other_scam,EXTRACT,10,3/8
NO_SCAM,normal,EXTRACT,1,4/8
NO_SCAM,normal,EXTRACT,1,5/8
OTHER_SCAM,other_scam,EXTRACT,10,1/8
OTHER_SCAM,other_scam,EXTRACT,10,2/11
NO_SCAM,normal,EXTRACT,1,3/11
NO_SCAM,normal,EXTRACT,1,4/11
OTHER_SCAM,other_scam,EXTRACT,10,5/14
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
OTHER_SCAM,other_scam,EXTRACT,10,4/14
NO_SCAM,normal,EXTRACT,1,5/14
OTHER_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
NO_SCAM,normal,EXTRACT,1,4/11
OTHER_SCAM,other_scam,EXTRACT,10,5/14
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
NO_SCAM,normal,EXTRACT,1,4/11
NO_SCAM,normal,EXTRACT,1,5/11
OTHER_SCAM,other_scam,EXTRACT,10,1/8
OTHER_SCAM,other_scam,EXTRACT,10,2/11
OTHER_SCAM,other_scam,EXTRACT,10,3/14
NO_SCAM,normal,EXTRACT,1,4/14
OTHER_SCAM,other_scam,EXTRACT,10,5/17
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
NO_SCAM,normal,ENGAGE,1,4/5
NO_SCAM,normal,ENGAGE,1,5/5
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
NO_SCAM,normal,ENGAGE,1,4/5
NO_SCAM,normal,ENGAGE,1,5/5
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
NO_SCAM,normal,EXTRACT,1,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
NO_SCAM,normal,EXTRACT,1,5/11
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
OTHER_SCAM,other_scam,EXTRACT,10,4/8
OTHER_SCAM,other_scam,EXTRACT,10,5/11
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
OTHER_SCAM,other_scam,EXTRACT,10,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
NO_SCAM,normal,EXTRACT,1,5/11
INVESTMENT_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
NO_SCAM,normal,EXTRACT,1,3/8
NO_SCAM,normal,EXTRACT,1,4/8
OTHER_SCAM,other_scam,EXTRACT,10,5/11
OTHER_SCAM,other_scam,EXTRACT,10,1/8
OTHER_SCAM,other_scam,EXTRACT,10,2/11
OTHER_SCAM,other_scam,EXTRACT,10,3/14
NO_SCAM,normal,EXTRACT,1,4/14
NO_SCAM,normal,EXTRACT,1,5/14
OTHER_SCAM,other_scam,EXTRACT,10,1/8
OTHER_SCAM,other_scam,EXTRACT,10,2/11
NO_SCAM,normal,EXTRACT,1,3/11
NO_SCAM,normal,EXTRACT,1,4/11
OTHER_SCAM,other_scam,EXTRACT,10,5/14
OTHER_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
INVESTMENT_SCAM,other_scam,EXTRACT,10,3/11
NO_SCAM,normal,EXTRACT,1,4/11
NO_SCAM,normal,EXTRACT,1,5/11
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
OTHER_SCAM,other_scam,EXTRACT,10,4/8
OTHER_SCAM,other_scam,EXTRACT,10,5/11
OTHER_SCAM,other_scam,EXTRACT,10,1/8
OTHER_SCAM,other_scam,EXTRACT,10,2/11
OTHER_SCAM,other_scam,EXTRACT,10,3/14
INVESTMENT_SCAM,other_scam,EXTRACT,10,4/17
NO_SCAM,normal,EXTRACT,1,5/17
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
OTHER_SCAM,other_scam,EXTRACT,10,4/8
NO_SCAM,normal,EXTRACT,1,5/8
OTHER_SCAM,other_scam,EXTRACT,10,1/8
OTHER_SCAM,other_scam,EXTRACT,10,2/11
OTHER_SCAM,other_scam,EXTRACT,10,3/14
OTHER_SCAM,other_scam,EXTRACT,10,4/17
OTHER_SCAM,other_scam,EXTRACT,10,5/20
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
NO_SCAM,normal,ENGAGE,1,4/5
OTHER_SCAM,other_scam,EXTRACT,10,5/8
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
OTHER_SCAM,other_scam,EXTRACT,10,4/8
NO_SCAM,normal,EXTRACT,1,5/8
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
NO_SCAM,normal,EXTRACT,1,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
OTHER_SCAM,other_scam,EXTRACT,10,5/14
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
NO_SCAM,normal,ENGAGE,1,4/5
NO_SCAM,normal,ENGAGE,1,5/5
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
OTHER_SCAM,other_scam,EXTRACT,10,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
OTHER_SCAM,other_scam,EXTRACT,10,5/14
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
OTHER_SCAM,other_scam,EXTRACT,10,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
NO_SCAM,normal,EXTRACT,1,5/11
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
NO_SCAM,normal,EXTRACT,1,3/8
NO_SCAM,normal,EXTRACT,1,4/8
INVESTMENT_SCAM,other_scam,EXTRACT,10,5/11
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
OTHER_SCAM,other_scam,EXTRACT,10,3/8
NO_SCAM,normal,EXTRACT,1,4/8
OTHER_SCAM,other_scam,EXTRACT,10,5/11
INVESTMENT_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
NO_SCAM,normal,EXTRACT,1,3/8
NO_SCAM,normal,EXTRACT,1,4/8
OTHER_SCAM,other_scam,EXTRACT,10,5/11
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
INVESTMENT_SCAM,other_scam,EXTRACT,10,3/11
OTHER_SCAM,other_scam,EXTRACT,10,4/14
NO_SCAM,normal,EXTRACT,1,5/14
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
NO_SCAM,normal,ENGAGE,1,4/5
OTHER_SCAM,other_scam,EXTRACT,10,5/8
OTHER_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
NO_SCAM,normal,EXTRACT,1,4/11
OTHER_SCAM,other_scam,EXTRACT,10,5/14
OTHER_SCAM,other_scam,EXTRACT,10,1/8
OTHER_SCAM,other_scam,EXTRACT,10,2/11
OTHER_SCAM,other_scam,EXTRACT,10,3/14
NO_SCAM,normal,EXTRACT,1,4/14
NO_SCAM,normal,EXTRACT,1,5/14
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
OTHER_SCAM,other_scam,EXTRACT,10,3/8
NO_SCAM,normal,EXTRACT,1,4/8
NO_SCAM,normal,EXTRACT,1,5/8
JOB_SCAM,other_scam,EXTRACT,10,1/8
OTHER_SCAM,other_scam,EXTRACT,10,2/11
OTHER_SCAM,other_scam,EXTRACT,10,3/14
NO_SCAM,normal,EXTRACT,1,4/14
INVESTMENT_SCAM,other_scam,EXTRACT,10,5/17
OTHER_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
OTHER_SCAM,other_scam,EXTRACT,10,4/14
NO_SCAM,normal,EXTRACT,1,5/14
OTHER_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
NO_SCAM,normal,EXTRACT,1,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
LOTTERY_SCAM,other_scam,EXTRACT,10,5/14
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
NO_SCAM,normal,EXTRACT,1,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
NO_SCAM,normal,EXTRACT,1,5/11
OTHER_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
NO_SCAM,normal,EXTRACT,1,4/11
NO_SCAM,normal,EXTRACT,1,5/11
LOTTERY_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
NO_SCAM,normal,EXTRACT,1,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
NO_SCAM,normal,EXTRACT,1,5/11
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
NO_SCAM,normal,EXTRACT,1,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
NO_SCAM,normal,EXTRACT,1,5/11
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
NO_SCAM,normal,EXTRACT,1,4/11
NO_SCAM,normal,EXTRACT,1,5/11
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
NO_SCAM,normal,EXTRACT,1,3/8
NO_SCAM,normal,EXTRACT,1,4/8
NO_SCAM,normal,EXTRACT,1,5/8
OTHER_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
NO_SCAM,normal,EXTRACT,1,3/8
NO_SCAM,normal,EXTRACT,1,4/8
NO_SCAM,normal,EXTRACT,1,5/8
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
OTHER_SCAM,other_scam,EXTRACT,10,4/14
OTHER_SCAM,other_scam,EXTRACT,10,5/17
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
OTHER_SCAM,other_scam,EXTRACT,10,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
NO_SCAM,normal,EXTRACT,1,5/11
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
NO_SCAM,normal,EXTRACT,1,3/8
NO_SCAM,normal,EXTRACT,1,4/8
OTHER_SCAM,other_scam,EXTRACT,10,5/11
JOB_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
OTHER_SCAM,other_scam,EXTRACT,10,4/14
OTHER_SCAM,other_scam,EXTRACT,10,5/17
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
OTHER_SCAM,other_scam,EXTRACT,10,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
INVESTMENT_SCAM,other_scam,EXTRACT,10,5/14
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
NO_SCAM,normal,EXTRACT,1,3/8
NO_SCAM,normal,EXTRACT,1,4/8
NO_SCAM,normal,EXTRACT,1,5/8
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
OTHER_SCAM,other_scam,EXTRACT,10,3/8
NO_SCAM,normal,EXTRACT,1,4/8
NO_SCAM,normal,EXTRACT,1,5/8
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
OTHER_SCAM,other_scam,EXTRACT,10,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
OTHER_SCAM,other_scam,EXTRACT,10,5/14
OTHER_SCAM,other_scam,EXTRACT,10,1/8
INVESTMENT_SCAM,other_scam,EXTRACT,10,2/11
OTHER_SCAM,other_scam,EXTRACT,10,3/14
OTHER_SCAM,other_scam,EXTRACT,10,4/17
NO_SCAM,normal,EXTRACT,1,5/17
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
OTHER_SCAM,other_scam,EXTRACT,10,4/8
NO_SCAM,normal,EXTRACT,1,5/8
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
NO_SCAM,normal,EXTRACT,1,3/8
NO_SCAM,normal,EXTRACT,1,4/8
NO_SCAM,normal,EXTRACT,1,5/8
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
OTHER_SCAM,other_scam,EXTRACT,10,3/8
INVESTMENT_SCAM,other_scam,EXTRACT,10,4/11
NO_SCAM,normal,EXTRACT,1,5/11
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
OTHER_SCAM,other_scam,EXTRACT,10,4/8
OTHER_SCAM,other_scam,EXTRACT,10,5/11
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
OTHER_SCAM,other_scam,EXTRACT,10,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
NO_SCAM,normal,EXTRACT,1,5/11
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
OTHER_SCAM,other_scam,EXTRACT,10,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
OTHER_SCAM,other_scam,EXTRACT,10,5/14
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
OTHER_SCAM,other_scam,EXTRACT,10,4/14
NO_SCAM,normal,EXTRACT,1,5/14
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
OTHER_SCAM,other_scam,EXTRACT,10,4/8
OTHER_SCAM,other_scam,EXTRACT,10,5/11
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
NO_SCAM,normal,ENGAGE,1,4/5
NO_SCAM,normal,ENGAGE,1,5/5
OTHER_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
NO_SCAM,normal,EXTRACT,1,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
OTHER_SCAM,other_scam,EXTRACT,10,5/14
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
NO_SCAM,normal,ENGAGE,1,4/5
OTHER_SCAM,other_scam,EXTRACT,10,5/8
OTHER_SCAM,other_scam,EXTRACT,10,1/8
OTHER_SCAM,other_scam,EXTRACT,10,2/11
NO_SCAM,normal,EXTRACT,1,3/11
OTHER_SCAM,other_scam,EXTRACT,10,4/14
NO_SCAM,normal,EXTRACT,1,5/14
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
NO_SCAM,normal,ENGAGE,1,4/5
NO_SCAM,normal,ENGAGE,1,5/5
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
OTHER_SCAM,other_scam,EXTRACT,10,4/8
OTHER_SCAM,other_scam,EXTRACT,10,5/11
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
NO_SCAM,normal,EXTRACT,1,4/11
OTHER_SCAM,other_scam,EXTRACT,10,5/14
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
UPI_SCAM,other_scam,EXTRACT,10,3/8
NO_SCAM,normal,EXTRACT,1,4/8
OTHER_SCAM,other_scam,EXTRACT,10,5/11
OTHER_SCAM,other_scam,EXTRACT,10,1/8
OTHER_SCAM,other_scam,EXTRACT,10,2/11
NO_SCAM,normal,EXTRACT,1,3/11
OTHER_SCAM,other_scam,EXTRACT,10,4/14
OTHER_SCAM,other_scam,EXTRACT,10,5/17
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
NO_SCAM,normal,ENGAGE,1,4/5
NO_SCAM,normal,ENGAGE,1,5/5
INVESTMENT_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
NO_SCAM,normal,EXTRACT,1,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
NO_SCAM,normal,EXTRACT,1,5/11
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
NO_SCAM,normal,ENGAGE,1,4/5
NO_SCAM,normal,ENGAGE,1,5/5
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
OTHER_SCAM,other_scam,EXTRACT,10,4/8
NO_SCAM,normal,EXTRACT,1,5/8
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
OTHER_SCAM,other_scam,EXTRACT,10,4/8
OTHER_SCAM,other_scam,EXTRACT,10,5/11
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
INVESTMENT_SCAM,other_scam,EXTRACT,10,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
NO_SCAM,normal,EXTRACT,1,5/11
NO_SCAM,normal,ENGAGE,1,1/5
INVESTMENT_SCAM,other_scam,EXTRACT,10,2/8
NO_SCAM,normal,EXTRACT,1,3/8
NO_SCAM,normal,EXTRACT,1,4/8
NO_SCAM,normal,EXTRACT,1,5/8
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
NO_SCAM,normal,EXTRACT,1,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
NO_SCAM,normal,EXTRACT,1,5/11
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
NO_SCAM,normal,ENGAGE,1,4/5
NO_SCAM,normal,ENGAGE,1,5/5
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
OTHER_SCAM,other_scam,EXTRACT,10,4/8
OTHER_SCAM,other_scam,EXTRACT,10,5/11
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
OTHER_SCAM,other_scam,EXTRACT,10,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
OTHER_SCAM,other_scam,EXTRACT,10,5/14
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
NO_SCAM,normal,EXTRACT,1,3/8
NO_SCAM,normal,EXTRACT,1,4/8
OTHER_SCAM,other_scam,EXTRACT,10,5/11
OTHER_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
NO_SCAM,normal,EXTRACT,1,4/11
OTHER_SCAM,other_scam,EXTRACT,10,5/14
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
NO_SCAM,normal,ENGAGE,1,4/5
NO_SCAM,normal,ENGAGE,1,5/5
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
OTHER_SCAM,other_scam,EXTRACT,10,3/8
NO_SCAM,normal,EXTRACT,1,4/8
INVESTMENT_SCAM,other_scam,EXTRACT,10,5/11
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
NO_SCAM,normal,EXTRACT,1,3/8
NO_SCAM,normal,EXTRACT,1,4/8
GOVERNMENT_IMPERSONATION,other_scam,EXTRACT,10,5/11
OTHER_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
NO_SCAM,normal,EXTRACT,1,4/11
OTHER_SCAM,other_scam,EXTRACT,10,5/14
OTHER_SCAM,other_scam,EXTRACT,10,1/8
OTHER_SCAM,other_scam,EXTRACT,10,2/11
OTHER_SCAM,other_scam,EXTRACT,10,3/14
NO_SCAM,normal,EXTRACT,1,4/14
NO_SCAM,normal,EXTRACT,1,5/14
OTHER_SCAM,other_scam,EXTRACT,10,1/8
OTHER_SCAM,other_scam,EXTRACT,10,2/11
NO_SCAM,normal,EXTRACT,1,3/11
NO_SCAM,normal,EXTRACT,1,4/11
OTHER_SCAM,other_scam,EXTRACT,10,5/14
INVESTMENT_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
NO_SCAM,normal,EXTRACT,1,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
JOB_SCAM,other_scam,EXTRACT,10,5/14
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
OTHER_SCAM,other_scam,EXTRACT,10,4/8
INVESTMENT_SCAM,other_scam,EXTRACT,10,5/11
OTHER_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
NO_SCAM,normal,EXTRACT,1,4/11
NO_SCAM,normal,EXTRACT,1,5/11
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
OTHER_SCAM,other_scam,EXTRACT,10,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
NO_SCAM,normal,EXTRACT,1,5/11
OTHER_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
NO_SCAM,normal,EXTRACT,1,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
OTHER_SCAM,other_scam,EXTRACT,10,5/14
NO_SCAM,normal,ENGAGE,1,1/5
JOB_SCAM,other_scam,EXTRACT,10,2/8
NO_SCAM,normal,EXTRACT,1,3/8
NO_SCAM,normal,EXTRACT,1,4/8
NO_SCAM,normal,EXTRACT,1,5/8
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
NO_SCAM,normal,ENGAGE,1,4/5
NO_SCAM,normal,ENGAGE,1,5/5
OTHER_SCAM,other_scam,EXTRACT,10,1/8
OTHER_SCAM,other_scam,EXTRACT,10,2/11
JOB_SCAM,other_scam,EXTRACT,10,3/14
OTHER_SCAM,other_scam,EXTRACT,10,4/17
OTHER_SCAM,other_scam,EXTRACT,10,5/20
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
NO_SCAM,normal,ENGAGE,1,4/5
OTHER_SCAM,other_scam,EXTRACT,10,5/8
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
NO_SCAM,normal,EXTRACT,1,3/8
OTHER_SCAM,other_scam,EXTRACT,10,4/11
NO_SCAM,normal,EXTRACT,1,5/11
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
NO_SCAM,normal,ENGAGE,1,4/5
NO_SCAM,normal,ENGAGE,1,5/5
INVESTMENT_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
NO_SCAM,normal,EXTRACT,1,4/11
NO_SCAM,normal,EXTRACT,1,5/11
OTHER_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
NO_SCAM,normal,EXTRACT,1,4/11
INVESTMENT_SCAM,other_scam,EXTRACT,10,5/14
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
OTHER_SCAM,other_scam,EXTRACT,10,3/8
NO_SCAM,normal,EXTRACT,1,4/8
OTHER_SCAM,other_scam,EXTRACT,10,5/11
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
NO_SCAM,normal,EXTRACT,1,3/8
NO_SCAM,normal,EXTRACT,1,4/8
NO_SCAM,normal,EXTRACT,1,5/8
OTHER_SCAM,other_scam,EXTRACT,10,1/8
OTHER_SCAM,other_scam,EXTRACT,10,2/11
NO_SCAM,normal,EXTRACT,1,3/11
NO_SCAM,normal,EXTRACT,1,4/11
OTHER_SCAM,other_scam,EXTRACT,10,5/14
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
OTHER_SCAM,other_scam,EXTRACT,10,4/8
NO_SCAM,normal,EXTRACT,1,5/8
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
OTHER_SCAM,other_scam,EXTRACT,10,4/8
NO_SCAM,normal,EXTRACT,1,5/8
NO_SCAM,normal,ENGAGE,1,1/5
OTHER_SCAM,other_scam,EXTRACT,10,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
NO_SCAM,normal,EXTRACT,1,4/11
NO_SCAM,normal,EXTRACT,1,5/11
NO_SCAM,normal,ENGAGE,1,1/5
NO_SCAM,normal,ENGAGE,1,2/5
NO_SCAM,normal,ENGAGE,1,3/5
NO_SCAM,normal,ENGAGE,1,4/5
NO_SCAM,normal,ENGAGE,1,5/5
OTHER_SCAM,other_scam,EXTRACT,10,1/8
NO_SCAM,normal,EXTRACT,1,2/8
OTHER_SCAM,other_scam,EXTRACT,10,3/11
